"group","module","id","name","description","version","active","link","free","limited","restricted"
"Táctico","Prestaciones de Salud",25,"Defunciones validadas por Dengue","Reporte que permite observar las defunciones por Dengue en EsSalud, ofreciendo datos sobre el número total de fallecimientos y distribución geográfica.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiYzgxMGMwMmQtMzgxOS00MWQwLTkwNzYtOWUxNDVlMWRjOTQ5IiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Táctico","Prestaciones de Salud",26,"Estado situacional - Dengue (Externo)","Reporte que describe la situación actual del dengue en EsSalud, incluyendo el número de casos y medidas de control implementadas para prevenir su propagación","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiNjAyYTM3MmQtYmVkMy00YTQxLThhODgtNmZhMjQ3YTY4YmVmIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Táctico","Prestaciones de Salud",27,"Hospitalizaciones por Dengue","Reporte que permite observar las hospitalizaciones por Dengue en EsSalud, ofreciendo datos sobre el número total de casos en hospitalización y distribución geográfica.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiNzYwNzQ3ODYtODRkYi00MGE2LWJkMjQtMGU1ZDhhNzBiNGI3IiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Táctico","Prestaciones de Salud",28,"Pacientes crónicos en Essalud","Reporte con información sobre pacientes crónicos asegurados y registrados en EsSalud según pacientes, principal enfermedad y enfermedades crónicas.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiNzExNzNjODAtNGQ5Yi00Mjk2LTllYTQtNWYxY2I3OGNiMDBlIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",True,False,False
"Táctico","Prestaciones Económicas",29,"Aporte de Asegurados Titulares","Reporte que muestra los aportes de asegurados titulares a nivel de empresas y personas.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiMzJhNjVkNjctY2NiOS00ZDA3LTk4ODItZjNiODkyNTgyM2IzIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",True,False,False
"Táctico","Prestaciones Económicas",30,"Certificado de Incapacidad Temporal para el trabajo","Reporte que cuenta con información  sobre los certificados de incapacidad temporal para el trabajo, los cuales se subdividen en incapacidad temporal y maternidad","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiNGY2M2Q2YTMtMzdjMS00NDlmLWFmMTUtNzM0YzZmZWU1ZjQzIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",True,False,False
"Táctico","Prestaciones Económicas",31,"Proceso presupuestal y financiero de las prestaciones económicas","Reporte con información actualizada sobre el seguimiento y análisis del proceso presupuestal y financiero de las prestaciones económicas realizado.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiMGVjNmE2ZTYtZTk0ZS00MWFmLTllNDctMjk4M2I4NjE4M2ZjIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,False,True
"Táctico","Prestaciones Económicas",32,"Solicitudes procesadas, días y subsidios otorgados","Reporte que muestra información sobre las solicitudes procesadas, subsidios otorgados, regímenes y modalidades según tipo de subsidio: incapacidad temporal, maternidad, lactancia ley N° 26790, lactancia D.L N°885 y sepelio.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiZTRiZTQwMzQtMDdiNS00NzViLTg3MjctZDQ5YzM4YmNiODljIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",True,False,False
"Táctico","Prestaciones Económicas",33,"Subsidios Procesados en Essalud","Reporte que permite ver los subsidios procesados en EsSalud y envuelve CIIU, días subsidiados, lactancia, enfermedad o accidente y maternidad.","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiNDcxOThkMTYtOTgxYy00M2Y3LWI1MGMtZWU0ZDFjNGI4NTIyIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",True,False,False
"Táctico","Proyectos en construcción",34,"Defunciones por COVID19","Reporte que muestra información de las defunciones causadas por COVID19 a nivel de IPRESS","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiMzM4YTk1YzktYzM4Zi00NDVhLTg5ZWItYjVmMmNhYzAyZjRmIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
"Táctico","Proyectos en construcción",35,"Disponibilidad de camas","Reporte que muestra la disponibilidad de camas a nivel de red y centro asistencial","1.0",True,"https://app.powerbi.com/view?r=eyJrIjoiNDI5NTFjMzAtYTk4NS00NWU2LWI4MDAtM2E3YTUwOGJmYmZjIiwidCI6IjM0ZjMyNDE5LTFjMDUtNDc1Ni04OTZlLTQ1ZDYzMzcyNjU5YiIsImMiOjR9",False,True,False
